ba,region,month,days,hours,peak_hour_pct_error_mean,peak_hour_abs_pct_error_mean,worst_under_forecast_pct,under_forecast_day_share,mean_demand_mw,imputed_share,hours_implausible,mape,bias_pct,rmse_mw
AECI,MIDW,2024-01,31,744,-0.023638,0.034116,-0.094499,0.741935,3708.803763,0.000000,0,0.037053,-0.004327,172.038755
AECI,MIDW,2024-02,29,696,-0.010772,0.031167,-0.078330,0.551724,2449.504310,0.000000,0,0.043397,0.018091,128.128522
AECI,MIDW,2024-03,31,743,-0.023597,0.038033,-0.134247,0.774194,2133.723410,0.000000,0,0.040563,-0.000413,114.041290
AECI,MIDW,2024-04,30,720,-0.000725,0.042585,-0.093075,0.500000,1949.908333,0.000000,0,0.040588,0.013499,98.057098
AECI,MIDW,2024-05,31,744,-0.022443,0.041949,-0.135035,0.645161,2057.865591,0.000000,0,0.036675,-0.003316,109.376637
AECI,MIDW,2024-06,30,720,-0.004285,0.026138,-0.062959,0.566667,2699.869444,0.000000,0,0.033097,0.006638,122.918853
AECI,MIDW,2024-07,31,744,-0.009001,0.048169,-0.119143,0.580645,2780.493280,0.000000,0,0.039558,-0.002570,160.668973
AECI,MIDW,2024-08,31,744,0.002156,0.042577,-0.084540,0.580645,2762.004032,0.000000,0,0.029597,0.007173,122.152431
AECI,MIDW,2024-09,30,720,-0.014806,0.043991,-0.100625,0.666667,2250.886111,0.000000,0,0.030155,-0.004967,93.828582
AECI,MIDW,2024-10,31,744,-0.001081,0.033167,-0.092238,0.548387,1981.158602,0.000000,0,0.030477,0.004469,79.786198
AECI,MIDW,2024-11,30,721,-0.018358,0.036857,-0.100389,0.733333,2176.934111,0.000000,0,0.033860,0.000272,96.729372
AECI,MIDW,2024-12,31,744,-0.025100,0.035495,-0.096105,0.774194,2747.342742,0.000000,0,0.036789,-0.007880,124.954191
AECI,MIDW,2025-01,31,744,-0.005632,0.009219,-0.023690,0.709677,3500.733871,0.000000,0,0.013604,-0.000074,60.508286
AECI,MIDW,2025-02,28,672,-0.004784,0.012991,-0.038779,0.678571,3245.821429,0.000000,0,0.015749,-0.002914,69.181471
AECI,MIDW,2025-03,31,743,-0.012581,0.016439,-0.054179,0.774194,2150.345956,0.000000,0,0.018430,-0.001051,51.543589
AECI,MIDW,2025-04,30,720,-0.010192,0.013456,-0.035088,0.800000,1969.244444,0.000000,0,0.015598,-0.000496,38.613811
