ba,region,year,days,hours,peak_hour_pct_error_mean,peak_hour_abs_pct_error_mean,worst_under_forecast_pct,p99_under_forecast_pct,under_forecast_day_share,mean_demand_mw,imputed_share,hours_implausible,mape,bias_pct,rmse_mw
AEC,SE,2015,113,2619,0.866401,0.866401,0.649701,0.665970,0.000000,492.850413,0.000000,91,0.863156,0.863156,447.741727
AEC,SE,2016,195,4500,0.882780,0.882780,0.653750,0.700692,0.000000,484.858544,0.000000,176,0.875022,0.875022,442.936998
AEC,SE,2017,236,5452,0.878293,0.878293,0.565008,0.652949,0.000000,490.795482,0.000000,205,0.877846,0.877846,448.343225
AEC,SE,2018,166,3843,0.885191,0.885191,0.643519,0.663651,0.000000,508.478414,0.000000,136,0.882566,0.882566,469.226003
AEC,SE,2019,174,4004,0.887883,0.887883,0.624650,0.660970,0.000000,522.225814,0.000000,165,0.881351,0.881351,486.230582
AEC,SE,2020,196,4527,0.859458,0.859458,0.444444,0.648178,0.000000,500.001429,0.000000,172,0.866517,0.866517,450.667621
AEC,SE,2021,118,2701,0.877004,0.877004,0.646638,0.661941,0.000000,539.656902,0.000000,126,0.869909,0.869909,488.506960
AECI,MIDW,2015,184,4417,-0.038431,0.052694,-0.154165,-0.146181,0.847826,2182.802536,0.000000,0,0.045812,-0.031608,131.286992
AECI,MIDW,2016,366,8784,-0.043226,0.051743,-0.165305,-0.143844,0.855191,2234.713922,0.000000,0,0.046906,-0.030784,141.549880
AECI,MIDW,2017,365,8760,-0.049405,0.057752,-0.218732,-0.160215,0.884932,2246.976416,0.000000,0,0.049390,-0.038475,151.130930
AECI,MIDW,2018,365,8755,-0.055005,0.071724,-0.232963,-0.185649,0.827397,2589.165367,0.000000,0,0.064870,-0.045481,217.431899
AECI,MIDW,2019,365,8760,-0.009685,0.037131,-0.173980,-0.130398,0.594521,2680.070650,0.000000,0,0.038842,0.008262,148.142512
AECI,MIDW,2020,365,8760,-0.005604,0.034584,-0.128803,-0.108198,0.556164,2616.921874,0.000000,0,0.035257,0.010921,124.840062
AECI,MIDW,2021,365,8760,-0.009238,0.033653,-0.151580,-0.112294,0.561644,2713.555255,0.000000,0,0.033631,0.003951,128.470752
AECI,MIDW,2022,365,8760,-0.009179,0.035948,-0.173589,-0.118215,0.600000,2896.612518,0.000000,0,0.035287,0.004285,160.934177
AECI,MIDW,2023,365,8760,-0.005605,0.035867,-0.154859,-0.109535,0.564384,2709.375040,0.000000,0,0.035828,0.008864,129.661083
AECI,MIDW,2024,366,8784,-0.012681,0.037895,-0.135035,-0.114247,0.639344,2477.258741,0.000000,0,0.035960,0.002118,121.446110
AECI,MIDW,2025,365,8760,-0.006367,0.014407,-0.071282,-0.058345,0.682192,2547.767068,0.000000,0,0.015471,-0.001368,52.667867
