rank,ba,region,days,hours,peak_hour_pct_error_mean,peak_hour_abs_pct_error_mean,worst_under_forecast_pct,p99_under_forecast_pct,under_forecast_day_share,mean_demand_mw,imputed_share,hours_implausible,mape,bias_pct,rmse_mw,median_daily_bias_pct
1,PGE,NW,4027,96639,0.000639,0.022670,-0.481406,-0.076281,0.491681,2470.962740,0.000000,5,0.018204,0.004570,70.013906,0.003527
2,BPAT,NW,4103,98470,-0.004545,0.021370,-0.499165,-0.070023,0.570314,6520.098580,0.000000,2,0.020036,0.001172,183.112825,0.000745
3,TVA,TEN,4069,97639,0.001411,0.023550,-0.293424,-0.069083,0.502089,17479.725638,0.000000,11,0.022225,0.006622,597.617381,0.005582
4,ERCO,TEX,4090,98160,0.004185,0.025182,-0.149778,-0.080303,0.463814,47122.063435,0.000000,0,0.024573,0.004059,1676.037570,0.002346
5,GCPD,NW,4103,98470,-0.018119,0.024772,-0.319756,-0.086077,0.761638,656.582615,0.000000,0,0.024660,-0.013389,21.007551,-0.013529
6,ISNE,NE,4105,98513,0.002781,0.014052,-0.095324,-0.046438,0.427284,13524.240172,0.000000,0,0.026134,-0.016518,464.312861,-0.016335
7,TPWR,NW,4103,98469,-0.000170,0.023601,-0.250000,-0.074299,0.488667,545.410454,0.000000,3,0.026562,0.013708,20.428651,0.012805
8,BANC,CAL,4044,96913,-0.006140,0.038932,-0.496454,-0.346829,0.510386,1861.660595,0.000000,83,0.027140,0.002741,98.481949,0.001866
9,MISO,MIDW,4097,98297,0.022621,0.026516,-0.066954,-0.035909,0.147913,74408.335246,0.000000,0,0.027608,0.024031,2539.325414,0.024398
10,DUK,CAR,4100,98395,0.001044,0.029721,-0.376675,-0.099728,0.496341,12120.061677,0.000000,0,0.028112,0.005141,534.837315,0.004341
11,SOCO,SE,3932,94348,-0.012496,0.021881,-0.375839,-0.079098,0.797050,26972.066935,0.000000,6,0.028312,-0.019706,968.249099,-0.018990
12,NYIS,NY,4093,98223,-0.025582,0.029393,-0.137563,-0.085887,0.882971,17600.029787,0.000000,0,0.028381,-0.023580,632.432578,-0.024384
13,SCL,NW,4086,97981,-0.022435,0.034416,-0.239792,-0.118775,0.704112,1085.825732,0.000000,41,0.030692,-0.011298,46.034274,-0.006962
14,NWMT,NW,4075,97757,-0.020361,0.033936,-0.498834,-0.122999,0.721472,1342.691216,0.000011,24,0.031133,-0.006898,64.937714,-0.006421
15,PJM,MIDA,4062,97479,-0.012736,0.022323,-0.493133,-0.067602,0.726982,134316.198500,0.000021,6,0.032266,-0.012342,3875.422679,-0.012882
16,EPE,SW,4100,98344,-0.005839,0.035561,-0.482759,-0.144859,0.554878,1011.040936,0.000000,25,0.032942,0.007532,49.926207,0.005611
17,AECI,MIDW,4104,98491,-0.020429,0.039970,-0.232963,-0.145595,0.683967,2556.453433,0.000000,0,0.038220,-0.008386,139.083203,-0.005019
18,CPLE,CAR,4064,97530,0.006365,0.038969,-0.303848,-0.118763,0.468258,7016.113512,0.000000,2,0.039827,0.012353,402.680251,0.009178
19,SRP,SW,3767,90358,-0.009584,0.041245,-0.497844,-0.178020,0.642952,3708.451115,0.000000,41,0.040515,0.004127,247.050851,-0.003321
20,FPL,FLA,4054,97210,-0.031287,0.044522,-0.492684,-0.163791,0.759990,15458.756741,0.000000,25,0.041880,-0.021672,849.587359,-0.021593
21,SWPP,CENT,3959,95013,0.021767,0.039834,-0.199763,-0.089263,0.337206,31346.035923,0.000000,2,0.041906,0.028590,1963.695532,0.021415
22,SCEG,CAR,4057,97358,-0.024711,0.041151,-0.336882,-0.174124,0.710870,2808.573361,0.000000,3,0.042092,-0.021099,164.099691,-0.024273
23,IPCO,NW,4100,98391,0.006412,0.034228,-0.366892,-0.165593,0.371220,2046.433533,0.000000,5,0.042194,0.024412,121.272846,0.022519
24,AVA,NW,4067,97580,0.017789,0.036998,-0.393871,-0.070737,0.470371,1440.204563,0.000000,20,0.042563,0.030707,87.260958,0.006485
25,CPLW,CAR,4061,97459,-0.014619,0.046907,-0.439689,-0.165389,0.602068,564.416263,0.000000,0,0.042627,0.005471,35.401246,0.002638
26,CISO,CAL,4082,97908,-0.010751,0.032554,-0.416693,-0.289372,0.549241,25670.138000,0.000000,4,0.043427,-0.017210,1791.560468,-0.012365
27,AZPS,SW,4087,98051,-0.007567,0.035198,-0.484538,-0.174579,0.515292,3827.752334,0.000000,31,0.043758,-0.002107,259.791724,0.002734
28,NEVP,NW,4056,97308,-0.033816,0.045499,-0.440309,-0.197681,0.782544,4442.968354,0.000000,14,0.045411,-0.029218,303.247106,-0.028717
29,PNM,SW,4102,98445,-0.026843,0.042702,-0.354858,-0.131446,0.670648,1635.127661,0.000000,3,0.045682,-0.021399,94.846316,-0.022303
30,TEC,FLA,4095,98266,-0.002791,0.041003,-0.303540,-0.129934,0.550427,2513.804135,0.000000,7,0.045706,0.012057,166.448100,0.007997
31,PACE,NW,3986,95581,0.014546,0.044938,-0.500000,-0.202967,0.357250,5213.826247,0.000010,56,0.050525,0.038615,381.165807,0.036387
32,PSCO,NW,4049,97141,-0.048707,0.061025,-0.458040,-0.342902,0.782909,5212.463160,0.000000,14,0.051078,-0.033856,455.214951,-0.022469
33,PACW,NW,3944,94600,0.025817,0.044580,-0.484607,-0.095671,0.332150,2498.068728,0.000000,46,0.051846,0.040229,180.315339,0.024428
34,JEA,FLA,3262,78284,-0.001714,0.040699,-0.487445,-0.136521,0.496934,1541.443551,0.000000,2,0.052406,0.037949,107.333267,0.036399
35,SC,CAR,3943,94586,0.016623,0.046257,-0.363761,-0.116299,0.458534,2877.221414,0.000000,23,0.056628,0.037670,208.817966,0.019172
36,FMPP,FLA,4022,96473,-0.018688,0.056255,-0.496721,-0.328142,0.541522,2130.733267,0.000000,36,0.059009,-0.005006,202.676479,0.005381
