rank,ba,region,days,hours,peak_hour_pct_error_mean,peak_hour_abs_pct_error_mean,worst_under_forecast_pct,p99_under_forecast_pct,under_forecast_day_share,mean_demand_mw,imputed_share,hours_implausible,mape,bias_pct,rmse_mw
1,ERCO,TEX,29,696,-0.000109,0.013270,-0.037441,-0.035321,0.413793,73225.731322,0.000000,0,0.012873,-0.003679,1184.469998
2,BPAT,NW,29,696,0.002466,0.020785,-0.039042,-0.037455,0.482759,6995.852011,0.000000,0,0.016130,0.007317,137.275501
3,AVA,NW,29,696,-0.008430,0.023856,-0.046572,-0.044970,0.689655,1403.150862,0.000000,0,0.016706,-0.000819,31.900686
4,PGE,NW,29,696,0.015007,0.028076,-0.039070,-0.036827,0.482759,2685.053161,0.000000,0,0.018231,0.010035,76.609755
5,NWMT,NW,29,696,-0.020179,0.029890,-0.196943,-0.156782,0.620690,1347.544540,0.000000,0,0.019973,-0.007361,38.591044
6,TVA,TEN,29,696,0.007827,0.019408,-0.033067,-0.032268,0.379310,23863.737069,0.000000,0,0.021066,0.008150,739.025114
7,NYIS,NY,29,696,-0.013494,0.024094,-0.066224,-0.063545,0.689655,18524.396552,0.000000,0,0.022160,-0.010833,516.099650
8,SOCO,SE,29,695,0.000960,0.026833,-0.023967,-0.023720,0.758621,34097.099138,0.000000,1,0.023549,-0.001200,1162.774262
9,BANC,CAL,29,693,-0.068419,0.090419,-0.476314,-0.456341,0.758621,2329.952586,0.000000,3,0.024560,-0.005366,161.418321
10,MISO,MIDW,29,696,0.025455,0.026241,-0.006142,-0.005388,0.103448,89368.094828,0.000000,0,0.024756,0.023819,2734.552366
11,PACW,NW,29,696,-0.004095,0.033910,-0.072619,-0.068399,0.586207,2416.908046,0.000000,0,0.025367,-0.000611,79.748473
12,SCL,NW,29,696,-0.023600,0.028629,-0.059963,-0.057973,0.896552,971.652299,0.000000,0,0.025909,-0.012922,30.183086
13,FPL,FLA,29,696,-0.008133,0.026022,-0.072853,-0.069205,0.586207,20780.232759,0.000000,0,0.027094,0.002297,739.644490
14,ISNE,NE,29,696,0.000396,0.014552,-0.029916,-0.029166,0.482759,13764.327586,0.000000,0,0.030415,-0.025707,530.293461
15,CPLE,CAR,29,696,-0.007078,0.029143,-0.050143,-0.048288,0.586207,8679.024425,0.000000,0,0.032828,0.005824,397.022340
16,DUK,CAR,29,696,0.016519,0.030719,-0.067666,-0.061173,0.310345,14904.758621,0.000000,0,0.033218,0.020972,745.464144
17,EPE,SW,27,648,-0.027261,0.031609,-0.099300,-0.088853,0.851852,1541.188272,0.000000,0,0.034163,-0.021090,70.454083
18,AECI,MIDW,29,696,0.008400,0.022660,-0.033002,-0.029370,0.448276,3120.706897,0.000000,0,0.034318,0.012357,132.984146
19,CPLW,CAR,29,696,-0.057835,0.060131,-0.114796,-0.114344,0.931034,572.033046,0.000000,0,0.036245,-0.021711,30.049719
20,IID,CAL,29,696,-0.005565,0.045011,-0.104478,-0.101511,0.551724,678.399425,0.000000,0,0.037944,0.006959,35.826490
21,TEC,FLA,29,696,-0.042191,0.046253,-0.119242,-0.110506,0.896552,3110.875000,0.000000,0,0.039214,0.001447,175.569181
22,GCPD,NW,27,648,-0.041695,0.041695,-0.068445,-0.067937,1.000000,793.195988,0.000000,0,0.039290,-0.037532,33.509465
23,PJM,MIDA,29,696,-0.011669,0.027083,-0.055272,-0.053405,0.724138,108944.363506,0.000000,0,0.040671,-0.018463,5213.975725
24,TEPC,SW,29,696,-0.017713,0.038681,-0.139550,-0.129553,0.551724,2188.307471,0.000000,0,0.041838,0.011456,130.542304
25,SC,CAR,27,648,-0.002350,0.024336,-0.055674,-0.053434,0.518519,3843.033951,0.000000,0,0.047016,0.037700,218.564410
26,PNM,SW,29,696,-0.042981,0.044788,-0.083932,-0.082016,0.931034,2062.087644,0.000000,0,0.047861,-0.045352,106.547437
27,SCEG,CAR,29,696,-0.036730,0.037605,-0.123320,-0.112758,0.931034,3601.113506,0.000000,0,0.049287,-0.037418,209.136350
28,IPCO,NW,29,696,-0.012399,0.051745,-0.227947,-0.214689,0.413793,2574.441092,0.000000,0,0.049919,0.000707,173.963292
29,JEA,FLA,29,696,-0.028539,0.045264,-0.110783,-0.109159,0.793103,1936.557471,0.000000,0,0.053715,0.030430,148.085459
30,FMPP,FLA,29,696,0.039134,0.061875,-0.234186,-0.180102,0.172414,2618.395115,0.000000,0,0.060906,0.022011,233.731459
31,BHBA,NW,29,696,-0.056497,0.074016,-0.155188,-0.152385,0.827586,927.064655,0.000000,0,0.065519,-0.050481,73.702025
32,LDWP,CAL,29,696,-0.056551,0.068560,-0.122887,-0.121863,0.931034,3718.097701,0.000000,0,0.070619,-0.057869,319.971786
33,SWPP,CENT,21,504,0.062629,0.063303,-0.005414,-0.004664,0.095238,43622.678571,0.000000,0,0.074559,0.074179,3721.413381
34,AZPS,SW,29,696,-0.013315,0.040735,-0.144079,-0.140370,0.551724,6393.658046,0.000000,0,0.074717,-0.018664,550.452960
35,NEVP,NW,29,694,-0.073670,0.076343,-0.201438,-0.200219,0.896552,6382.182471,0.000000,1,0.078826,-0.070205,631.438049
36,LGEE,MIDW,28,672,-0.089101,0.089101,-0.118985,-0.118805,1.000000,5128.032738,0.000000,0,0.079442,-0.079086,436.305321
37,PACE,NW,29,696,0.006996,0.031594,-0.106578,-0.105113,0.448276,6642.337644,0.000000,0,0.080529,0.059264,653.304891
38,SRP,SW,29,696,0.028676,0.050331,-0.087756,-0.072587,0.413793,5687.262931,0.000000,0,0.086271,0.070880,618.634389
39,CISO,CAL,29,696,-0.058022,0.062556,-0.255254,-0.249522,0.931034,32933.895115,0.000000,0,0.088637,-0.084939,4283.173442
40,SWPW,NW,21,504,0.118504,0.125770,-0.049821,-0.042853,0.142857,3349.690476,0.000000,0,0.150608,0.147788,592.094959
41,WALC,SW,29,682,-0.033372,0.149184,-0.359543,-0.354185,0.586207,934.525862,0.000000,6,0.161568,0.058415,201.742199
42,FPC,FLA,29,696,-0.247993,0.247993,-0.306698,-0.304770,1.000000,8282.087644,0.000000,0,0.226388,-0.226388,2007.309106
43,PSCO,NW,29,696,-0.303790,0.303790,-0.386243,-0.384588,1.000000,6006.356322,0.000000,0,0.251528,-0.251522,1686.560439
44,PSEI,NW,27,630,-0.306285,0.306285,-0.427744,-0.419403,1.000000,2531.822531,0.000000,18,0.288429,-0.288343,804.564795
